date,location,new_cases,new_deaths,total_cases,total_deaths
25-01-20,Malaysia,3,,3,
26-01-20,Malaysia,1,,4,
27-01-20,Malaysia,0,,4,
28-01-20,Malaysia,0,,4,
29-01-20,Malaysia,3,,7,
30-01-20,Malaysia,1,,8,
31-01-20,Malaysia,0,,8,
01-02-20,Malaysia,0,,8,
02-02-20,Malaysia,0,,8,
03-02-20,Malaysia,0,,8,
04-02-20,Malaysia,2,,10,
05-02-20,Malaysia,2,,12,
06-02-20,Malaysia,0,,12,
07-02-20,Malaysia,0,,12,
08-02-20,Malaysia,4,,16,
09-02-20,Malaysia,0,,16,
10-02-20,Malaysia,2,,18,
11-02-20,Malaysia,0,,18,
12-02-20,Malaysia,0,,18,
13-02-20,Malaysia,1,,19,
14-02-20,Malaysia,0,,19,
15-02-20,Malaysia,3,,22,
16-02-20,Malaysia,0,,22,
17-02-20,Malaysia,0,,22,
18-02-20,Malaysia,0,,22,
19-02-20,Malaysia,0,,22,
20-02-20,Malaysia,0,,22,
21-02-20,Malaysia,0,,22,
22-02-20,Malaysia,0,,22,
23-02-20,Malaysia,0,,22,
24-02-20,Malaysia,0,,22,
25-02-20,Malaysia,0,,22,
26-02-20,Malaysia,0,,22,
27-02-20,Malaysia,1,,23,
28-02-20,Malaysia,0,,23,
29-02-20,Malaysia,2,,25,
01-03-20,Malaysia,4,,29,
02-03-20,Malaysia,0,,29,
03-03-20,Malaysia,7,,36,
04-03-20,Malaysia,14,,50,
05-03-20,Malaysia,0,,50,
06-03-20,Malaysia,33,,83,
07-03-20,Malaysia,10,,93,
08-03-20,Malaysia,6,,99,
09-03-20,Malaysia,18,,117,
10-03-20,Malaysia,12,,129,
11-03-20,Malaysia,20,,149,
12-03-20,Malaysia,0,,149,
13-03-20,Malaysia,48,,197,
14-03-20,Malaysia,41,,238,
15-03-20,Malaysia,190,,428,
16-03-20,Malaysia,138,,566,
17-03-20,Malaysia,107,2,673,2
18-03-20,Malaysia,117,0,790,2
19-03-20,Malaysia,110,0,900,2
20-03-20,Malaysia,130,1,1030,3
21-03-20,Malaysia,153,1,1183,4
22-03-20,Malaysia,123,6,1306,10
23-03-20,Malaysia,212,4,1518,14
24-03-20,Malaysia,106,2,1624,16
25-03-20,Malaysia,172,4,1796,20
26-03-20,Malaysia,235,3,2031,23
27-03-20,Malaysia,130,3,2161,26
28-03-20,Malaysia,159,1,2320,27
29-03-20,Malaysia,150,8,2470,35
30-03-20,Malaysia,156,2,2626,37
31-03-20,Malaysia,140,6,2766,43
01-04-20,Malaysia,142,2,2908,45
02-04-20,Malaysia,208,5,3116,50
03-04-20,Malaysia,217,3,3333,53
04-04-20,Malaysia,150,4,3483,57
05-04-20,Malaysia,179,4,3662,61
06-04-20,Malaysia,131,1,3793,62
07-04-20,Malaysia,170,1,3963,63
08-04-20,Malaysia,156,2,4119,65
09-04-20,Malaysia,109,2,4228,67
10-04-20,Malaysia,118,3,4346,70
11-04-20,Malaysia,184,3,4530,73
12-04-20,Malaysia,153,3,4683,76
13-04-20,Malaysia,134,1,4817,77
14-04-20,Malaysia,170,5,4987,82
15-04-20,Malaysia,85,1,5072,83
16-04-20,Malaysia,110,1,5182,84
17-04-20,Malaysia,69,2,5251,86
18-04-20,Malaysia,54,2,5305,88
19-04-20,Malaysia,84,1,5389,89
20-04-20,Malaysia,36,0,5425,89
21-04-20,Malaysia,57,3,5482,92
22-04-20,Malaysia,50,1,5532,93
23-04-20,Malaysia,71,2,5603,95
24-04-20,Malaysia,88,1,5691,96
25-04-20,Malaysia,51,2,5742,98
26-04-20,Malaysia,38,0,5780,98
27-04-20,Malaysia,40,1,5820,99
28-04-20,Malaysia,31,1,5851,100
29-04-20,Malaysia,94,0,5945,100
30-04-20,Malaysia,57,2,6002,102
01-05-20,Malaysia,69,1,6071,103
02-05-20,Malaysia,105,0,6176,103
03-05-20,Malaysia,122,2,6298,105
04-05-20,Malaysia,55,0,6353,105
