StateID,StateName,Population,Total_area,HDI,West_East,States_Federal
41336,Johor,3553600,19210,0.785,2,2
41325,Kedah,2071900,9500,0.769,2,2
41367,Kelantan,1718200,15099,0.741,2,2
41401,Kuala Lumpur,1768000,243,0.822,2,1
41415,Labuan,96800,91,0.742,1,1
41324,Melaka,872900,1664,0.794,2,2
41332,Negeri Sembilan,1098400,6686,0.789,2,2
41335,Pahang,1623200,36137,0.766,2,2
41330,Perak,2477700,21035,0.778,2,2
41380,Perlis,246000,821,0.767,2,2
41327,Pulau Pinang,1663000,1048,0.803,2,2
41345,Sabah,3543500,73631,0.674,1,2
41342,Sarawak,2636000,124450,0.709,1,2
41326,Selangor,5874100,8104,0.819,2,2
41361,Terengganu,1153500,13035,0.762,2,2
